"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
3837596,"       (2019 AV2)","2019 AV2",,,Y,Y,0,21.33,,,,,,,,,,,,,,,,,0.40,,"JPL 29",2460200.5,60200,2023-09-13.0,J2000,0.6466,2.46,0.869,9.01,119.68,54.43,62.24,4.05,0.2555,2459956.90,2023-01-12.4,1.41e+03,3.86,0.0212,8.24,1.03,3.15,4.1e-08,8.6e-08,1.1e-07,1.0e-05,9.2e-06,2.3e-05,2.1e-05,1.4e-07,1.3e-08,7.1e-05,7.4e-05,APO,"Otto Matic",1649,2014-12-18,2019-06-24,192,1,2,0,.39934,,,,,,,,,
3837599,"       (2019 AZ2)","2019 AZ2",,,Y,Y,0,21.60,,,,,,,,,,,,,,,,,0.44,,"JPL 9",2458490.5,58490,2019-01-07.0,J2000,0.8833,2.458,0.287,7.33,83.76,255.25,12.41,4.63,0.2557,2458441.97,2018-11-19.4,1.41e+03,3.85,0.0343,13.3,0.939,2.76,5.5e-04,9.1e-03,3.0e-04,6.7e-03,2.8e-03,1.0e-02,7.5e-02,1.7e-02,1.4e-03,2.5e-02,7.8e+00,APO,"Otto Matic",12,2019-01-03,2019-01-15,95,,,8,.40402,,,,,,,,,
3837652,"       (2019 AW4)","2019 AW4",,,Y,Y,0,21.27,,,,,,,,,,2.2236,,,,,,,0.30,,"JPL 23",2460200.5,60200,2023-09-13.0,J2000,0.6200,2.248,0.854,14.41,153.70,56.59,116.22,3.64,0.2924,2459803.08,2022-08-11.5,1.23e+03,3.37,0.022,8.54,1.52,3.31,3.1e-06,1.6e-05,7.9e-07,5.1e-05,2.3e-05,3.6e-05,5.3e-03,2.7e-05,3.2e-06,1.4e-02,1.4e-02,APO,"Otto Matic",198,2018-12-15,2019-07-01,115,,,4,.4599,,,,,,,,,
3837682,"       (2019 AN5)","2019 AN5",,,Y,Y,0,21.07,,,,,,,,,,51.16,,,,,,,0.36,,"JPL 95",2460200.5,60200,2023-09-13.0,J2000,0.4139,1.608,0.942,2.02,276.46,98.55,162.58,2.27,0.4834,2459864.19,2022-10-11.6,745,2.04,0.0258,10,3.2,4.25,1.2e-08,3.8e-09,1.9e-08,1.7e-06,4.2e-05,4.2e-05,2.1e-06,5.4e-09,1.7e-09,4.0e-06,2.6e-06,APO,"Otto Matic",3602,2013-02-15,2022-12-27,640,,,0,.39626,,,,,,,,,
3837719,"       (2019 AP6)","2019 AP6",,,Y,Y,0,21.20,,,,,,,,,,,,,,,,,0.50,,"JPL 22",2460200.5,60200,2023-09-13.0,J2000,0.4111,0.7396,0.436,7.07,327.30,325.04,282.95,1.04,1.55,2460250.22,2023-11-01.7,232,0.636,0.0225,8.74,4.13,7.72,5.3e-07,6.7e-08,4.3e-07,3.1e-05,9.4e-05,7.5e-05,3.1e-04,9.5e-08,2.1e-07,2.1e-04,3.2e-05,ATE,"Otto Matic",755,2019-01-07,2021-01-31,116,,,2,.50125,,,,,,,,,
3837741,"       (2019 AN7)","2019 AN7",,,Y,Y,0,21.75,,,,,,,,,,,,,,,,,0.12,,"JPL 7",2458492.5,58492,2019-01-09.0,J2000,0.8483,1.192,0.181,23.77,295.47,325.58,325.72,2.20,0.7577,2458537.74,2019-02-23.2,475,1.3,0.0299,11.6,3.01,4.83,2.1e-03,1.0e-02,8.7e-04,1.8e-01,4.7e-02,4.8e-02,5.5e-01,1.9e-02,1.0e-02,1.3e-01,6.3e+00,APO,"Otto Matic",10,2019-01-03,2019-01-13,40,,,9,.39868,,,,,,,,,
3837902,"       (2019 AG13)","2019 AG13",,,Y,Y,0,21.90,,,,,,,,,,,,,,,,,0.29,,"JPL 8",2460200.5,60200,2023-09-13.0,J2000,0.6051,2.063,0.815,11.11,265.20,300.14,184.03,3.31,0.3327,2460729.38,2025-02-22.8,1.08e+03,2.96,0.00589,2.29,1.81,3.51,3.3e-08,7.1e-09,7.1e-08,1.0e-05,2.6e-05,2.4e-05,7.6e-06,1.1e-08,1.7e-09,2.5e-05,5.6e-06,APO,"Otto Matic",3292,2010-06-29,2019-07-04,54,,,0,.62888,,,,,,,,,
3837926,"       (2019 BK)","2019 BK",,,Y,Y,0,21.04,,,,,,,,,,2.86,,,,,,,0.27,,"JPL 22",2460200.5,60200,2023-09-13.0,J2000,0.7282,2.055,0.558,4.13,264.47,121.14,225.07,3.55,0.3346,2460603.76,2024-10-20.2,1.08e+03,2.95,0.0333,13,1.94,3.39,1.8e-07,1.7e-08,3.6e-07,1.4e-05,1.8e-04,1.8e-04,9.4e-06,3.0e-08,4.2e-09,3.3e-05,1.4e-05,APO,"Otto Matic",2203,2016-01-29,2022-02-09,155,,,0,.515,,,,,,,,,
3837956,"       (2019 BC1)","2019 BC1",,,Y,Y,0,20.25,,,,,,,,,,,,,,,,,0.52,,"JPL 28",2460200.5,60200,2023-09-13.0,J2000,0.6343,2.531,0.926,17.75,118.18,328.73,64.79,4.14,0.2448,2459935.81,2022-12-22.3,1.47e+03,4.03,0.00362,1.41,1.29,3.08,2.1e-08,4.9e-09,5.1e-08,8.4e-06,2.3e-05,1.8e-05,5.8e-06,8.1e-09,7.2e-10,2.4e-05,4.3e-06,APO,"Otto Matic",4589,2010-09-16,2023-04-10,161,,,0,.49811,,,,,,,,,
3837975,"       (2019 BP1)","2019 BP1",,,Y,Y,0,19.80,,,,,,,,,,,,,,,,,0.41,,"JPL 16",2460200.5,60200,2023-09-13.0,J2000,0.6303,2.549,0.942,23.73,34.33,18.02,67.28,4.16,0.2422,2459922.73,2022-12-09.2,1.49e+03,4.07,0.0323,12.6,1.39,3.04,1.2e-07,7.2e-08,3.2e-07,4.7e-05,1.6e-04,1.2e-04,1.5e-05,1.2e-07,1.0e-08,6.6e-05,6.3e-05,APO,"Otto Matic",2940,2015-02-11,2023-03-01,79,,,0,.47698,,,,,,,,,
3837989,"       (2019 BG2)","2019 BG2",,,Y,Y,0,21.90,,,,,,,,,,,,,,,,,0.31,,"JPL 13",2460200.5,60200,2023-09-13.0,J2000,0.2760,1.265,0.916,14.22,328.99,65.56,152.29,1.61,0.693,2459980.75,2023-02-05.2,519,1.42,0.0281,10.9,3.89,5.03,1.7e-06,7.4e-08,2.1e-06,5.0e-05,5.6e-05,2.5e-04,4.7e-05,9.5e-08,6.1e-08,6.8e-05,4.6e-05,APO,"Otto Matic",927,2019-01-24,2021-08-08,113,,,1,.44188,,,,,,,,,
3838020,"       (2019 BT2)","2019 BT2",,,Y,Y,0,20.50,,,,,,,,,,,,,,,,,0.60,,"JPL 20",2460200.5,60200,2023-09-13.0,J2000,0.4924,1.082,0.549,19.94,306.76,65.71,113.09,1.62,0.8755,2460071.32,2023-05-06.8,411,1.13,0.0216,8.42,3.97,5.55,3.8e-07,4.4e-08,4.3e-07,2.5e-05,2.6e-05,3.9e-05,6.1e-05,6.6e-08,5.4e-08,6.2e-05,2.5e-05,APO,"Otto Matic",3691,2010-01-28,2020-03-07,81,,,1,.58513,,,,,,,,,
3838082,"       (2019 BF5)","2019 BF5",,,Y,Y,0,21.50,,,,,,,,,,7.709,,,,,,,0.38,,"JPL 14",2460200.5,60200,2023-09-13.0,J2000,0.7395,1.68,0.438,24.52,312.24,68.75,64.86,2.92,0.4526,2460057.20,2023-04-22.7,795,2.18,0.0213,8.3,3.03,3.79,3.0e-07,2.1e-08,5.1e-07,4.1e-05,7.5e-06,5.2e-05,1.5e-05,3.6e-08,8.4e-09,3.2e-05,1.5e-05,APO,"Otto Matic",800,2019-01-28,2021-04-07,164,,,0,.42766,,,,,,,,,
3838104,"       (2019 CH1)","2019 CH1",,,Y,Y,0,21.22,,,,,,,,,,,,,,,,,0.49,,"JPL 16",2460200.5,60200,2023-09-13.0,J2000,0.7142,1.335,0.381,10.87,296.46,73.55,51.65,2.29,0.6393,2460119.70,2023-06-24.2,563,1.54,0.0369,14.3,3.26,4.59,3.7e-07,6.9e-08,4.8e-07,2.3e-05,5.4e-05,6.7e-05,4.3e-05,1.2e-07,5.0e-08,6.1e-05,4.4e-05,APO,"Otto Matic",2216,2016-01-16,2022-02-09,77,,,1,.39381,,,,,,,,,
3838130,"       (2019 CT1)","2019 CT1",,,Y,Y,0,21.96,,,,,,,,,,,,,,,,,0.56,,"JPL 26",2460200.5,60200,2023-09-13.0,J2000,0.3544,1.561,1.008,19.25,325.07,152.46,137.73,2.11,0.5053,2459927.97,2022-12-14.4,712,1.95,0.0469,18.3,3,4.3,5.2e-08,1.6e-08,8.5e-08,1.4e-05,6.3e-06,3.3e-05,2.2e-05,2.1e-08,7.7e-09,4.0e-05,1.1e-05,APO,"Otto Matic",691,2019-02-04,2020-12-26,204,0,1,0,.33883,,,,,,,,,
3838129,"       (2019 CU1)","2019 CU1",,,Y,Y,0,21.36,,,,,,,,,,,,,,,,,0.48,,"JPL 20",2460200.5,60200,2023-09-13.0,J2000,0.5171,1.781,0.860,1.76,344.50,100.64,354.93,2.70,0.4148,2460212.72,2023-09-25.2,868,2.38,0.0141,5.48,2.57,3.92,3.0e-08,1.3e-08,5.3e-08,1.0e-05,1.2e-04,1.2e-04,1.3e-05,1.9e-08,4.5e-09,3.0e-05,9.4e-06,APO,"Otto Matic",4336,2011-09-30,2023-08-14,104,,,0,.64551,,,,,,,,,
3838139,"       (2019 CD2)","2019 CD2",,,Y,Y,0,20.02,,,,,,,,,,,,,,,,,0.29,,"JPL 43",2460200.5,60200,2023-09-13.0,J2000,0.7480,2.452,0.618,6.74,304.87,113.45,83.66,4.29,0.2568,2459874.65,2022-10-22.1,1.4e+03,3.84,0.032,12.5,1.24,3.03,3.2e-08,4.4e-08,8.9e-08,9.1e-06,2.8e-05,2.9e-05,1.2e-05,7.6e-08,6.8e-09,3.8e-05,3.7e-05,APO,"Otto Matic",1302,2019-02-04,2022-08-29,233,,,0,.40402,,,,,,,,,
3838240,"       (2019 CE4)","2019 CE4",,,Y,Y,0,17.78,,,,,,,,,,,,,,,,,,,"JPL 90",2460200.5,60200,2023-09-13.0,J2000,0.6607,2.852,0.968,20.69,38.59,347.10,353.53,4.74,0.2046,2460232.11,2023-10-14.6,1.76e+03,4.82,0.0148,5.76,0.758,2.86,1.8e-08,1.4e-08,5.3e-08,7.4e-06,1.3e-05,1.5e-05,1.6e-06,2.3e-08,1.5e-09,8.1e-06,1.3e-05,APO,"Otto Matic",2054,2018-07-15,2024-02-28,375,,,0,.39332,,,,,,,,,
3838259,"       (2019 CC5)","2019 CC5",,,Y,Y,0,21.97,,,,,,,,,,,,,,,,,,,"JPL 27",2460200.5,60200,2023-09-13.0,J2000,0.6054,1.844,0.728,7.49,131.24,295.55,320.17,2.96,0.3936,2460301.68,2023-12-23.1,915,2.5,0.0173,6.74,2.42,3.76,3.3e-08,5.0e-09,6.0e-08,1.1e-05,3.1e-05,3.0e-05,3.9e-06,8.1e-09,1.6e-09,9.9e-06,3.7e-06,APO,"Otto Matic",3647,2014-02-25,2024-02-20,133,,,0,.41267,,,,,,,,,
