name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Grove Mountains 021846,49893,Valid,L5,0.46,Found,2003,-72.7783,75.3269,"(-72.7783, 75.3269)"
Grove Mountains 021861,49894,Valid,L5,0.52,Found,2003,-72.7753,75.3364,"(-72.7753, 75.3364)"
Grove Mountains 021865,47869,Valid,CV3,1.28,Found,2003,-72.775278,75.3375,"(-72.775278, 75.3375)"
Grove Mountains 021868,47870,Valid,H5,1.59,Found,2003,-72.775278,75.338056,"(-72.775278, 75.338056)"
Grove Mountains 021869,49895,Valid,H5,2.43,Found,2003,-72.7753,75.3381,"(-72.7753, 75.3381)"
Grove Mountains 021870,49896,Valid,H6,1.72,Found,2003,-72.77528,75.33806,"(-72.77528, 75.33806)"
Grove Mountains 021871,49897,Valid,H5,1.5,Found,2003,-72.7753,75.3381,"(-72.7753, 75.3381)"
Grove Mountains 021873,47871,Valid,H4,0.92,Found,2003,-72.777778,75.327778,"(-72.777778, 75.327778)"
Grove Mountains 021877,49898,Valid,H5,0.83,Found,2003,-72.77778,75.32806,"(-72.77778, 75.32806)"
Grove Mountains 021878,47872,Valid,H4,1.3,Found,2003,-72.777778,75.328333,"(-72.777778, 75.328333)"
Grove Mountains 021882,49899,Valid,H4,1.08,Found,2003,-72.77778,75.32944,"(-72.77778, 75.32944)"
Grove Mountains 021884,47873,Valid,H5,0.88,Found,2003,-72.777778,75.33,"(-72.777778, 75.33)"
Grove Mountains 021885,47874,Valid,H5,1.09,Found,2003,-72.777778,75.330278,"(-72.777778, 75.330278)"
Grove Mountains 021889,47875,Valid,H4,0.82,Found,2003,-72.778056,75.325556,"(-72.778056, 75.325556)"
Grove Mountains 021890,49900,Valid,H4,1.2,Found,2003,-72.77806,75.32583,"(-72.77806, 75.32583)"
Grove Mountains 021891,49901,Valid,H5,0.45,Found,2003,-72.7781,75.3261,"(-72.7781, 75.3261)"
Grove Mountains 021892,49902,Valid,H5,0.44,Found,2003,-72.7781,75.3264,"(-72.7781, 75.3264)"
Grove Mountains 021893,47876,Valid,H4,0.56,Found,2003,-72.778056,75.326667,"(-72.778056, 75.326667)"
Grove Mountains 021895,49903,Valid,H4,0.83,Found,2003,-72.77806,75.32722,"(-72.77806, 75.32722)"
Grove Mountains 021896,47877,Valid,H5,0.89,Found,2003,-72.778056,75.3275,"(-72.778056, 75.3275)"
Grove Mountains 021900,47878,Valid,H5,0.55,Found,2003,-72.776944,75.323333,"(-72.776944, 75.323333)"
Grove Mountains 021901,49904,Valid,H5,0.67,Found,2003,-72.77694,75.32361,"(-72.77694, 75.32361)"
Grove Mountains 021902,49905,Valid,H4,0.67,Found,2003,-72.77694,75.32389,"(-72.77694, 75.32389)"
Grove Mountains 021905,47879,Valid,H4,0.56,Found,2003,-72.776944,75.324722,"(-72.776944, 75.324722)"
Grove Mountains 021911,49906,Valid,H5,0.45,Found,2003,-72.7769,75.3264,"(-72.7769, 75.3264)"
Grove Mountains 021913,49907,Valid,H4,0.67,Found,2003,-72.77694,75.32694,"(-72.77694, 75.32694)"
Grove Mountains 021914,47880,Valid,H5,0.59,Found,2003,-72.776944,75.327222,"(-72.776944, 75.327222)"
Grove Mountains 021917,49908,Valid,H5,0.46,Found,2003,-72.7775,75.3336,"(-72.7775, 75.3336)"
Grove Mountains 021919,47881,Valid,H5,0.56,Found,2003,-72.7775,75.334167,"(-72.7775, 75.334167)"
Grove Mountains 021920,49909,Valid,H5,0.48,Found,2003,-72.7775,75.3344,"(-72.7775, 75.3344)"
Grove Mountains 021924,49911,Valid,H5,0.47,Found,2003,-72.7775,75.33556,"(-72.7775, 75.33556)"
Grove Mountains 021933,47882,Valid,L5,6.01,Found,2003,-72.776389,75.319167,"(-72.776389, 75.319167)"
Grove Mountains 021934,49912,Valid,H4,3.38,Found,2003,-72.77639,75.31944,"(-72.77639, 75.31944)"
Grove Mountains 021935,49913,Valid,H5,3.07,Found,2003,-72.7764,75.3197,"(-72.7764, 75.3197)"
Grove Mountains 021936,47883,Valid,H5,2.6,Found,2003,-72.776389,75.32,"(-72.776389, 75.32)"
Grove Mountains 021938,49914,Valid,H5,1.55,Found,2003,-72.77639,75.32056,"(-72.77639, 75.32056)"
Grove Mountains 021944,46811,Valid,L6,11.44,Found,2003,-72.77639,75.32222,"(-72.77639, 75.32222)"
Grove Mountains 021945,49915,Valid,L6,8.57,Found,2003,-72.77639,75.3225,"(-72.77639, 75.3225)"
Grove Mountains 021946,49916,Valid,L5,8.21,Found,2003,-72.7731,75.34,"(-72.7731, 75.34)"
Grove Mountains 021947,47884,Valid,H4,7.87,Found,2003,-72.773056,75.340278,"(-72.773056, 75.340278)"
Grove Mountains 021948,47885,Valid,L6,8.0,Found,2003,-72.773056,75.340556,"(-72.773056, 75.340556)"
Grove Mountains 021951,49917,Valid,H4,5.56,Found,2003,-72.77306,75.34139,"(-72.77306, 75.34139)"
Grove Mountains 021952,47886,Valid,L6,3.5,Found,2003,-72.773056,75.341667,"(-72.773056, 75.341667)"
Grove Mountains 021953,47887,Valid,H6,3.26,Found,2003,-72.773056,75.341944,"(-72.773056, 75.341944)"
Grove Mountains 021954,47888,Valid,L6,4.57,Found,2003,-72.773056,75.342222,"(-72.773056, 75.342222)"
Grove Mountains 021955,49918,Valid,L6,3.97,Found,2003,-72.77306,75.3425,"(-72.77306, 75.3425)"
Grove Mountains 021957,47889,Valid,L6,4.15,Found,2003,-72.773056,75.343056,"(-72.773056, 75.343056)"
Grove Mountains 021958,47890,Valid,L6,3.26,Found,2003,-72.773056,75.343333,"(-72.773056, 75.343333)"
Grove Mountains 021959,49919,Valid,L5,3.42,Found,2003,-72.7731,75.3436,"(-72.7731, 75.3436)"
Grove Mountains 021962,49920,Valid,L6,2.42,Found,2003,-72.77306,75.34444,"(-72.77306, 75.34444)"
Grove Mountains 021963,49921,Valid,L5,2.44,Found,2003,-72.77306,75.34472,"(-72.77306, 75.34472)"
Grove Mountains 021964,49922,Valid,H5,2.13,Found,2003,-72.77306,75.345,"(-72.77306, 75.345)"
Grove Mountains 021965,47891,Valid,L6,4.12,Found,2003,-72.773056,75.345278,"(-72.773056, 75.345278)"
Grove Mountains 021971,49923,Valid,L6,2.16,Found,2003,-72.77389,75.34111,"(-72.77389, 75.34111)"
Grove Mountains 021972,47892,Valid,L6,1.85,Found,2003,-72.773889,75.341389,"(-72.773889, 75.341389)"
Grove Mountains 021973,49924,Valid,H5,1.8,Found,2003,-72.7739,75.3417,"(-72.7739, 75.3417)"
Grove Mountains 021975,47893,Valid,H5,1.8,Found,2003,-72.773889,75.342222,"(-72.773889, 75.342222)"
Grove Mountains 021976,47894,Valid,L6,8.36,Found,2003,-72.773889,75.3425,"(-72.773889, 75.3425)"
Grove Mountains 021977,49925,Valid,H5,5.66,Found,2003,-72.77389,75.34278,"(-72.77389, 75.34278)"
Grove Mountains 021980,49926,Valid,H4,2.57,Found,2003,-72.77389,75.34333,"(-72.77389, 75.34333)"
Grove Mountains 021982,47895,Valid,L5,2.44,Found,2003,-72.773889,75.343333,"(-72.773889, 75.343333)"
Grove Mountains 021984,49927,Valid,H6,2.13,Found,2003,-72.77389,75.34333,"(-72.77389, 75.34333)"
Grove Mountains 021987,49928,Valid,H5,2.06,Found,2003,-72.77528,75.34528,"(-72.77528, 75.34528)"
Grove Mountains 021989,47896,Valid,L6,1.58,Found,2003,-72.775278,75.345833,"(-72.775278, 75.345833)"
Grove Mountains 021990,47897,Valid,L6,1.3,Found,2003,-72.775278,75.346111,"(-72.775278, 75.346111)"
Grove Mountains 021992,47898,Valid,CV3,1.1,Found,2003,-72.775278,75.346667,"(-72.775278, 75.346667)"
Grove Mountains 021995,47899,Valid,H6,3.48,Found,2003,-72.775278,75.3475,"(-72.775278, 75.3475)"
Grove Mountains 021998,49929,Valid,H4,2.12,Found,2003,-72.775,75.31528,"(-72.775, 75.31528)"
Grove Mountains 022002,47900,Valid,H4,0.99,Found,2003,-72.776389,75.347778,"(-72.776389, 75.347778)"
Grove Mountains 022003,47901,Valid,H4,0.81,Found,2003,-72.776389,75.348056,"(-72.776389, 75.348056)"
Grove Mountains 022004,47902,Valid,H5,0.59,Found,2003,-72.776389,75.348333,"(-72.776389, 75.348333)"
Grove Mountains 022005,47903,Valid,L6,8.93,Found,2003,-72.776389,75.348611,"(-72.776389, 75.348611)"
Grove Mountains 022006,49930,Valid,L6,1.82,Found,2003,-72.77639,75.34889,"(-72.77639, 75.34889)"
Grove Mountains 022011,47904,Valid,L5,2.63,Found,2003,-72.780556,75.345278,"(-72.780556, 75.345278)"
Grove Mountains 022012,47905,Valid,L6,1.29,Found,2003,-72.781111,75.3175,"(-72.781111, 75.3175)"
Grove Mountains 022013,49931,Valid,L5,3.9,Found,2003,-72.78111,75.31778,"(-72.78111, 75.31778)"
Grove Mountains 022018,47906,Valid,LL6,3.5,Found,2003,-72.781111,75.319167,"(-72.781111, 75.319167)"
Grove Mountains 022020,49932,Valid,L4,0.69,Found,2003,-72.775,75.33889,"(-72.775, 75.33889)"
Grove Mountains 022021,30713,Valid,LL5,2953.0,Found,2003,-72.78056,75.31694,"(-72.78056, 75.31694)"
Grove Mountains 022022,46812,Valid,L5,228.6,Found,2003,-72.78278,75.3025,"(-72.78278, 75.3025)"
Grove Mountains 022023,46813,Valid,L5,102.91,Found,2003,-72.78306,75.30278,"(-72.78306, 75.30278)"
Grove Mountains 022024,46814,Valid,L5,405.9,Found,2003,-72.78361,75.29944,"(-72.78361, 75.29944)"
Grove Mountains 022025,46815,Valid,L6,101.39,Found,2003,-72.78361,75.29639,"(-72.78361, 75.29639)"
Grove Mountains 022026,46816,Valid,L5,73.31999999999998,Found,2003,-72.78333,75.29667,"(-72.78333, 75.29667)"
Grove Mountains 022027,46817,Valid,L5,169.65,Found,2003,-72.78306,75.29833,"(-72.78306, 75.29833)"
Grove Mountains 022028,46818,Valid,L5,244.9,Found,2003,-72.7825,75.30028,"(-72.7825, 75.30028)"
Grove Mountains 022029,46819,Valid,L6,245.5,Found,2003,-72.7825,75.30028,"(-72.7825, 75.30028)"
Grove Mountains 022030,46820,Valid,L5,119.14,Found,2003,-72.7825,75.30028,"(-72.7825, 75.30028)"
Grove Mountains 022031,46821,Valid,L6,39.86,Found,2003,-72.7825,75.30056,"(-72.7825, 75.30056)"
Grove Mountains 022032,46822,Valid,L6,204.8,Found,2003,-72.7825,75.30167,"(-72.7825, 75.30167)"
Grove Mountains 022033,46823,Valid,L5,398.7,Found,2003,-72.78222,75.30222,"(-72.78222, 75.30222)"
Grove Mountains 022034,46824,Valid,L5,345.0,Found,2003,-72.78194,75.3025,"(-72.78194, 75.3025)"
Grove Mountains 022035,46825,Valid,L6,107.26,Found,2003,-72.78194,75.30194,"(-72.78194, 75.30194)"
Grove Mountains 022036,46826,Valid,L5,96.54,Found,2003,-72.78194,75.30194,"(-72.78194, 75.30194)"
Grove Mountains 022037,46827,Valid,L6,935.9,Found,2003,-72.78222,75.30111,"(-72.78222, 75.30111)"
Grove Mountains 022038,46573,Valid,L5,1012.0,Found,2003,-72.78167,75.30278,"(-72.78167, 75.30278)"
Grove Mountains 022039,46574,Valid,L5,160.67,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022040,46575,Valid,L5,589.5,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022041,46576,Valid,L5,96.74,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022042,46577,Valid,L5,218.1,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022043,46828,Valid,L6,208.7,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022044,46829,Valid,L6,152.14,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022045,46830,Valid,L6,47.76,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022046,49933,Valid,L6,4.04,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022047,49934,Valid,L6,5.48,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022048,47907,Valid,L6,4.19,Found,2003,-72.778611,75.315278,"(-72.778611, 75.315278)"
Grove Mountains 022049,47908,Valid,L6,3.44,Found,2003,-72.778611,75.315278,"(-72.778611, 75.315278)"
Grove Mountains 022052,47909,Valid,L6,2.48,Found,2003,-72.778611,75.315278,"(-72.778611, 75.315278)"
Grove Mountains 022053,47910,Valid,L6,2.1,Found,2003,-72.778611,75.315278,"(-72.778611, 75.315278)"
Grove Mountains 022054,49935,Valid,L5,2.13,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022055,49936,Valid,L5,1.81,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022056,49937,Valid,L6,2.16,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022061,49938,Valid,L5,0.56,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022064,49939,Valid,L6,1.29,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022065,49940,Valid,L6,1.15,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022066,49941,Valid,L6,1.29,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022068,47911,Valid,L6,1.07,Found,2003,-72.778611,75.315278,"(-72.778611, 75.315278)"
Grove Mountains 022069,49942,Valid,L5,0.98,Found,2003,-72.77917,75.31056,"(-72.77917, 75.31056)"
Grove Mountains 022077,49943,Valid,L6,0.44,Found,2003,-72.7792,75.3106,"(-72.7792, 75.3106)"
Grove Mountains 022081,49944,Valid,L5,0.44,Found,2003,-72.77917,75.31056,"(-72.77917, 75.31056)"
Grove Mountains 022088,49945,Valid,L6,0.48,Found,2003,-72.7792,75.3106,"(-72.7792, 75.3106)"
Grove Mountains 022096,47912,Valid,LL4,0.64,Found,2003,-72.779167,75.310556,"(-72.779167, 75.310556)"
Grove Mountains 022099,49946,Valid,L6,2.55,Found,2003,-72.77917,75.31056,"(-72.77917, 75.31056)"
Grove Mountains 022100,49947,Valid,L5,1.56,Found,2003,-72.77917,75.31056,"(-72.77917, 75.31056)"
Grove Mountains 022107,49948,Valid,H4,1.05,Found,2003,-72.77917,75.31056,"(-72.77917, 75.31056)"
Grove Mountains 022109,49949,Valid,H5,0.54,Found,2003,-72.77917,75.31056,"(-72.77917, 75.31056)"
Grove Mountains 022112,46831,Valid,L6,365.6,Found,2003,-72.77917,75.31056,"(-72.77917, 75.31056)"
Grove Mountains 022113,46832,Valid,L6,33.49,Found,2003,-72.77917,75.31056,"(-72.77917, 75.31056)"
Grove Mountains 022114,46833,Valid,L6,171.43,Found,2003,-72.77917,75.31056,"(-72.77917, 75.31056)"
Grove Mountains 022115,46834,Valid,L6,79.63,Found,2003,-72.77917,75.31056,"(-72.77917, 75.31056)"
Grove Mountains 022116,46835,Valid,L6,69.62,Found,2003,-72.77917,75.31056,"(-72.77917, 75.31056)"
Grove Mountains 022117,46836,Valid,L5,32.28,Found,2003,-72.77917,75.31056,"(-72.77917, 75.31056)"
Grove Mountains 022118,46837,Valid,L6,46.03,Found,2003,-72.77917,75.31056,"(-72.77917, 75.31056)"
Grove Mountains 022119,46838,Valid,L5,27.2,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022120,46839,Valid,L6,363.0,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022121,46840,Valid,L6,107.56,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022122,46841,Valid,L6,45.92,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022123,46842,Valid,L5,103.12,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022124,46843,Valid,L6,22.75,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022125,46844,Valid,L6,47.14,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022126,46845,Valid,L5,47.98,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022127,46846,Valid,L5,39.15,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022128,46847,Valid,L5,31.14,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022129,46848,Valid,L6,30.24,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022130,46578,Valid,L6,30.54,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022131,46579,Valid,L6,24.75,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022132,46580,Valid,L6,23.92,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022133,46581,Valid,L6,21.37,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022134,46582,Valid,L6,19.99,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022135,46849,Valid,L6,17.33,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022136,46850,Valid,L6,12.34,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022137,47913,Valid,L6,6.59,Found,2003,-72.778889,75.313611,"(-72.778889, 75.313611)"
Grove Mountains 022138,46851,Valid,L6,69.47,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022139,46852,Valid,L6,40.9,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022140,46853,Valid,L6,36.35,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022141,46854,Valid,L5,26.6,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022142,46855,Valid,L5,23.31,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022143,46856,Valid,L5,14.71,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022144,49950,Valid,L6,8.6,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022145,46857,Valid,L6,31.8,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022146,46858,Valid,L5,20.67,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022147,46583,Valid,L6,21.15,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022148,46584,Valid,L6,17.15,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022149,46585,Valid,L6,17.21,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022150,46586,Valid,L5,14.34,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022151,46587,Valid,L5,12.54,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022152,47914,Valid,L6,6.24,Found,2003,-72.778889,75.313611,"(-72.778889, 75.313611)"
Grove Mountains 022153,46859,Valid,L6,19.66,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022154,46860,Valid,L6,19.87,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022155,46861,Valid,L6,21.02,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022156,46862,Valid,L6,18.51,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022157,46863,Valid,L6,15.36,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022158,46864,Valid,L6,14.2,Found,2003,-72.77889,75.31361,"(-72.77889, 75.31361)"
Grove Mountains 022159,46865,Valid,L5,13.03,Found,2003,-72.78167,75.30389,"(-72.78167, 75.30389)"
Grove Mountains 022160,46866,Valid,L5,610.1,Found,2003,-72.78167,75.30389,"(-72.78167, 75.30389)"
Grove Mountains 022161,46867,Valid,L5,26.54,Found,2003,-72.78167,75.30389,"(-72.78167, 75.30389)"
Grove Mountains 022162,46868,Valid,L6,140.96,Found,2003,-72.78167,75.30389,"(-72.78167, 75.30389)"
Grove Mountains 022163,46588,Valid,L5,94.29,Found,2003,-72.78167,75.30389,"(-72.78167, 75.30389)"
Grove Mountains 022164,46589,Valid,L6,14.91,Found,2003,-72.78167,75.30389,"(-72.78167, 75.30389)"
Grove Mountains 022166,49951,Valid,L6,8.93,Found,2003,-72.78167,75.30389,"(-72.78167, 75.30389)"
Grove Mountains 022167,49952,Valid,L6,6.33,Found,2003,-72.78167,75.30389,"(-72.78167, 75.30389)"
Grove Mountains 022168,46590,Valid,L5,139.67,Found,2003,-72.78167,75.30389,"(-72.78167, 75.30389)"
Grove Mountains 022169,46591,Valid,L5,93.07,Found,2003,-72.78167,75.30278,"(-72.78167, 75.30278)"
Grove Mountains 022170,46592,Valid,L5,79.97,Found,2003,-72.78167,75.30278,"(-72.78167, 75.30278)"
Grove Mountains 022171,30714,Valid,L6,73.0,Found,2003,-72.78167,75.30278,"(-72.78167, 75.30278)"
Grove Mountains 022172,46869,Valid,L6,56.95,Found,2003,-72.78167,75.30278,"(-72.78167, 75.30278)"
Grove Mountains 022173,46870,Valid,L6,68.33,Found,2003,-72.78167,75.30278,"(-72.78167, 75.30278)"
Grove Mountains 022174,46871,Valid,L6,56.05,Found,2003,-72.78167,75.30278,"(-72.78167, 75.30278)"
Grove Mountains 022175,46872,Valid,L6,44.46,Found,2003,-72.78167,75.30278,"(-72.78167, 75.30278)"
Grove Mountains 022176,46873,Valid,L6,36.6,Found,2003,-72.78167,75.30278,"(-72.78167, 75.30278)"
Grove Mountains 022177,46874,Valid,L5,34.47,Found,2003,-72.78167,75.30278,"(-72.78167, 75.30278)"
Grove Mountains 022178,46875,Valid,L6,23.94,Found,2003,-72.78167,75.30278,"(-72.78167, 75.30278)"
Grove Mountains 022180,47915,Valid,L6,8.44,Found,2003,-72.781111,75.292222,"(-72.781111, 75.292222)"
Grove Mountains 022183,49953,Valid,L6,5.82,Found,2003,-72.7811,75.2922,"(-72.7811, 75.2922)"
Grove Mountains 022184,49954,Valid,L6,3.44,Found,2003,-72.78111,75.29222,"(-72.78111, 75.29222)"
Grove Mountains 022185,46876,Valid,L5,13.26,Found,2003,-72.78111,75.29222,"(-72.78111, 75.29222)"
Grove Mountains 022186,46877,Valid,L5,11.99,Found,2003,-72.78111,75.29222,"(-72.78111, 75.29222)"
Grove Mountains 022187,47916,Valid,L6,9.74,Found,2003,-72.781111,75.292222,"(-72.781111, 75.292222)"
Grove Mountains 022188,47917,Valid,L6,9.68,Found,2003,-72.781111,75.292222,"(-72.781111, 75.292222)"
Grove Mountains 022190,46878,Valid,L5,42.08,Found,2003,-72.78139,75.30556,"(-72.78139, 75.30556)"
Grove Mountains 022191,46593,Valid,L5,18.76,Found,2003,-72.78139,75.30556,"(-72.78139, 75.30556)"
Grove Mountains 022192,46594,Valid,L5,19.03,Found,2003,-72.78139,75.30556,"(-72.78139, 75.30556)"
Grove Mountains 022193,46595,Valid,L5,14.8,Found,2003,-72.78139,75.30556,"(-72.78139, 75.30556)"
Grove Mountains 022194,46596,Valid,L6,15.57,Found,2003,-72.78139,75.30556,"(-72.78139, 75.30556)"
Grove Mountains 022195,49955,Valid,L5,6.33,Found,2003,-72.78139,75.30556,"(-72.78139, 75.30556)"
Grove Mountains 022196,49956,Valid,L5,4.33,Found,2003,-72.78139,75.30556,"(-72.78139, 75.30556)"
Grove Mountains 022197,47918,Valid,L6,1.1,Found,2003,-72.781389,75.305556,"(-72.781389, 75.305556)"
Grove Mountains 022198,47919,Valid,L6,0.66,Found,2003,-72.781389,75.305556,"(-72.781389, 75.305556)"
Grove Mountains 022199,46597,Valid,L5,30.08,Found,2003,-72.78083,75.30222,"(-72.78083, 75.30222)"
Grove Mountains 022200,46879,Valid,L6,27.79,Found,2003,-72.78083,75.30222,"(-72.78083, 75.30222)"
Grove Mountains 022201,46880,Valid,L6,17.37,Found,2003,-72.78083,75.30222,"(-72.78083, 75.30222)"
Grove Mountains 022202,46881,Valid,L6,13.9,Found,2003,-72.78083,75.30222,"(-72.78083, 75.30222)"
Grove Mountains 022203,46882,Valid,L6,16.21,Found,2003,-72.78083,75.30222,"(-72.78083, 75.30222)"
Grove Mountains 022204,46883,Valid,L6,13.98,Found,2003,-72.78083,75.30222,"(-72.78083, 75.30222)"
Grove Mountains 022206,46884,Valid,L5,22.5,Found,2003,-72.78083,75.30222,"(-72.78083, 75.30222)"
Grove Mountains 022207,46885,Valid,L5,15.83,Found,2003,-72.78083,75.30222,"(-72.78083, 75.30222)"
Grove Mountains 022209,49957,Valid,L6,9.86,Found,2003,-72.77833,75.32083,"(-72.77833, 75.32083)"
Grove Mountains 022210,46886,Valid,L5,11.76,Found,2003,-72.77833,75.32083,"(-72.77833, 75.32083)"
Grove Mountains 022211,46887,Valid,L5,11.09,Found,2003,-72.77833,75.32083,"(-72.77833, 75.32083)"
Grove Mountains 022212,46888,Valid,L5,12.07,Found,2003,-72.77833,75.32083,"(-72.77833, 75.32083)"
Grove Mountains 022213,49958,Valid,L6,8.75,Found,2003,-72.77833,75.32083,"(-72.77833, 75.32083)"
Grove Mountains 022214,47920,Valid,L6,9.0,Found,2003,-72.778333,75.320833,"(-72.778333, 75.320833)"
Grove Mountains 022215,47921,Valid,L5,9.08,Found,2003,-72.778333,75.320833,"(-72.778333, 75.320833)"
Grove Mountains 022217,47922,Valid,L6,6.0,Found,2003,-72.778333,75.320833,"(-72.778333, 75.320833)"
Grove Mountains 022218,49959,Valid,L5,3.16,Found,2003,-72.77833,75.32083,"(-72.77833, 75.32083)"
Grove Mountains 022219,46598,Valid,L5,100.95,Found,2003,-72.77833,75.32083,"(-72.77833, 75.32083)"
Grove Mountains 022220,46599,Valid,L6,12.01,Found,2003,-72.77833,75.32083,"(-72.77833, 75.32083)"
Grove Mountains 022221,46600,Valid,L4,29.09,Found,2003,-72.77833,75.32083,"(-72.77833, 75.32083)"
Grove Mountains 022222,46601,Valid,L5,125.96,Found,2003,-72.77833,75.32083,"(-72.77833, 75.32083)"
Grove Mountains 022223,46602,Valid,L6,71.24,Found,2003,-72.77833,75.32083,"(-72.77833, 75.32083)"
Grove Mountains 022224,46889,Valid,L6,15.45,Found,2003,-72.77833,75.32083,"(-72.77833, 75.32083)"
Grove Mountains 022225,49960,Valid,L6,6.46,Found,2003,-72.77833,75.32083,"(-72.77833, 75.32083)"
Grove Mountains 022227,46890,Valid,L6,14.1,Found,2003,-72.77833,75.32083,"(-72.77833, 75.32083)"
Grove Mountains 022228,46891,Valid,L6,46.45,Found,2003,-72.77833,75.32083,"(-72.77833, 75.32083)"
Grove Mountains 022229,46892,Valid,L6,18.68,Found,2003,-72.77833,75.32083,"(-72.77833, 75.32083)"
Grove Mountains 022230,46893,Valid,L6,14.76,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022231,47923,Valid,L6,9.62,Found,2003,-72.778611,75.315278,"(-72.778611, 75.315278)"
Grove Mountains 022232,47924,Valid,L6,9.42,Found,2003,-72.778611,75.315278,"(-72.778611, 75.315278)"
Grove Mountains 022233,49961,Valid,L6,8.54,Found,2003,-72.77861,75.31528,"(-72.77861, 75.31528)"
Grove Mountains 022234,47925,Valid,L6,7.84,Found,2003,-72.778611,75.315278,"(-72.778611, 75.315278)"
