name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Northwest Africa 4644,45586,Valid,L3-6,159.1,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4645,45587,Valid,L(LL)3,56.6,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4646,45588,Valid,L3,2042.4,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 465,17733,Valid,H5,413.5,Found,2001,26.784,-12.8335,"(26.784, -12.8335)"
Northwest Africa 4658,45597,Valid,LL4,167.0,Found,2005,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 466,17734,Valid,L6,46.0,Found,2001,31.36817,-4.01683,"(31.36817, -4.01683)"
Northwest Africa 4676,45615,Valid,CV3,10000.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4700,45627,Valid,"Iron, IAB-sLL",3080.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4701,45628,Valid,"Iron, IAB complex",1276.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4702,45629,Valid,"Iron, ungrouped",123.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4703,45630,Valid,"Iron, IAB-sLL",114.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4704,45631,Valid,"Iron, IIIE",277.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4705,45632,Valid,"Iron, ungrouped",195.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4706,45633,Valid,"Iron, IAB-sHL",227.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4707,45634,Valid,"Iron, IIIAB",585.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4708,45635,Valid,"Iron, IIIAB",9625.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4709,45636,Valid,"Iron, IAB-MG",82.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4710,45637,Valid,"Iron, IAB-sHL",2340.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4711,45638,Valid,"Iron, IAB-sHL",394.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4713,45640,Valid,"Iron, IAB-sLM",154.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 472,17740,Valid,H4,58.0,Found,2000,31.96833,-4.14667,"(31.96833, -4.14667)"
Northwest Africa 473,17741,Valid,L4,45.8,Found,2000,31.96,-4.12833,"(31.96, -4.12833)"
Northwest Africa 4741,45667,Valid,Achondrite-ung,20.0,Found,2005,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 477,17745,Valid,H5,1194.0,Found,2000,32.03333,-4.17667,"(32.03333, -4.17667)"
Northwest Africa 478,17746,Valid,L4,724.0,Found,2000,32.03667,-4.195,"(32.03667, -4.195)"
Northwest Africa 479,17747,Valid,Lunar (basalt),156.0,Found,2000,30.66667,-4.98333,"(30.66667, -4.98333)"
Northwest Africa 4802,45726,Valid,L6,11.3,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4803,45727,Valid,L6,35.5,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4804,45728,Valid,L4,69.9,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4805,45729,Valid,L6,34.5,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4806,45730,Valid,H6,38.2,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4807,45731,Valid,Diogenite,16.27,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4817,45741,Valid,CV3,683.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4818,45742,Valid,CV3,388.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4823,45747,Valid,LL3.3,620.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5123,47245,Valid,L4,13.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4834,45758,Valid,Eucrite,50.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4852,45776,Valid,Ureilite,237.0,Found,2002,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4861,45785,Valid,"Iron, IAB complex",2400.0,Found,2005,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4945,47119,Valid,EL6,3150.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4946,47120,Valid,EL6,4543.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4965,47138,Valid,Diogenite,1023.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4966,47139,Valid,CK4,416.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4967,47140,Valid,CO3.2,689.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4968,47141,Valid,Eucrite,366.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5124,47246,Valid,L4,16.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5024,47165,Valid,CK4,100.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5025,47166,Valid,CK4,53.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5026,47167,Valid,LL3.7,2073.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5028,47168,Valid,CR2,2445.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5084,47206,Valid,L5,810.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5085,47207,Valid,L6,565.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5098,47220,Valid,L5,33.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5101,47223,Valid,L5,22.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5106,47228,Valid,L4,28.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5107,47229,Valid,L4,21.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5108,47230,Valid,L5,23.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5111,47233,Valid,L5,16.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5114,47236,Valid,L4,27.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5115,47237,Valid,L4,19.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5116,47238,Valid,L5,17.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5117,47239,Valid,L4,13.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5119,47241,Valid,L5,7.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5120,47242,Valid,L4,12.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5121,47243,Valid,L5,9.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5122,47244,Valid,L4,11.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5126,47248,Valid,L4,13.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5127,47249,Valid,L4,15.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5128,47250,Valid,L4,14.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5129,47251,Valid,L5,277.0,Found,2001,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5130,47252,Valid,CH3,23.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5131,47253,Valid,LL7,533.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5132,47254,Valid,L4,67.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5133,47255,Valid,L5,235.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5136,47257,Valid,LL6,223.2,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5167,47288,Valid,Angrite,859.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5197,47318,Valid,LL3.2,289.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5199,47319,Valid,Howardite,51.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5201,47321,Valid,Ureilite,11730.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5202,47322,Valid,CO3.8,109.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5204,47323,Valid,Eucrite,555.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5205,47324,Valid,LL3.2,4000.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5206,47325,Valid,LL3.05,128.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5208,47327,Valid,Howardite,245.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5209,47328,Valid,Ureilite,224.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5211,47330,Valid,CK,276.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
